,Seed,Accuracy,F1 Score,AUC,D-AUC PR
0,7270,0.564020789038507,0.5275645567013608,0.5391345904351418,0.008875150096884802
0,860,0.5381526104417671,0.5615868809209789,0.5480932349710109,0.012477448548519574
0,5390,0.5605953224663359,0.6408322626290367,0.5597535639009042,0.024290003248100062
0,5191,0.5399244034963383,0.4986491183614333,0.5500190472567464,0.02002129561651543
0,5734,0.5592960075596504,0.5111327564540337,0.5521234356158149,0.017806675755644014
0,6265,0.5380344909047957,0.5370692567343138,0.5529379314595188,0.010016281701538052
0,466,0.5804394046775337,0.4606664418781905,0.5609912841929591,0.025388768939938456
0,4426,0.5520907158043941,0.5011989264861668,0.5423054914226431,0.011234802913713501
0,5578,0.5741790692180486,0.5843482272034418,0.5381174340526408,0.015697636937448047
0,8322,0.5233876683203401,0.5150351606474882,0.5673323988976714,0.019629283146414326
